page_index,predicted_label,text_source,text_chars,text_empty,fused_giay_gui_tien_tiet_kiem,fused_the_tiet_kiem_ban_sao,fused_to_trinh_uu_dai_lai_suat,fused_giay_to_chung_minh_cu_tru,img_giay_gui_tien_tiet_kiem,img_the_tiet_kiem_ban_sao,img_to_trinh_uu_dai_lai_suat,img_giay_to_chung_minh_cu_tru
47,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.972747,0.285909,0.0,492.4536,491.7015,472.7472,464.8571
48,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.779621,0.0,0.524887,463.4362,458.2787,440.0335,452.3173
49,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.464557,0.454126,0.0,705.4146,650.4383,649.3674,602.7402
50,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.846723,0.851733,0.0,660.2806,640.4,641.0498,530.5765
51,to_trinh_uu_dai_lai_suat,empty,0,True,0.701713,0.743888,1.0,0.0,632.3279,636.547,662.1676,562.1309
52,to_trinh_uu_dai_lai_suat,empty,0,True,0.82977,0.636121,1.0,0.0,633.5268,603.3145,660.0854,504.0695
53,to_trinh_uu_dai_lai_suat,empty,0,True,0.888424,0.690954,1.0,0.0,631.0266,594.2733,651.7932,465.6725
54,the_tiet_kiem_ban_sao,empty,0,True,0.517159,1.0,0.0,0.232287,674.398,702.0192,644.8137,658.1018
55,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.853256,0.350074,0.0,642.0596,634.8395,610.082,592.8577
56,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.984959,0.29083,0.0,494.4167,493.9473,472.2826,463.2054
57,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.777569,0.0,0.646265,462.1395,456.7087,437.7242,453.5029
58,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.566882,0.584172,0.0,701.8457,655.743,657.5835,595.4022
59,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.830566,0.890186,0.0,675.33,652.3193,660.4162,539.521
60,to_trinh_uu_dai_lai_suat,empty,0,True,0.787083,0.849441,1.0,0.0,650.2374,655.7435,669.0375,580.7399
61,to_trinh_uu_dai_lai_suat,empty,0,True,0.829035,0.609208,1.0,0.0,635.6686,601.8582,661.9636,508.1597
62,to_trinh_uu_dai_lai_suat,empty,0,True,0.869819,0.664422,1.0,0.0,631.899,593.8104,656.0396,470.6005
63,the_tiet_kiem_ban_sao,empty,0,True,0.575512,1.0,0.114308,0.0,683.3835,706.209,658.5838,652.4373
64,the_tiet_kiem_ban_sao,empty,0,True,0.780515,1.0,0.332843,0.0,642.5155,656.3457,614.3068,593.3337
65,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.87337,0.242815,0.0,498.1592,494.1367,474.1062,466.3929
66,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.810784,0.0,0.459396,469.7321,465.8866,449.4089,458.7453
67,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.507857,0.488218,0.0,709.1399,658.4149,656.3907,606.0703
68,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.852311,0.937092,0.0,661.7693,643.2723,653.8905,536.5264
69,to_trinh_uu_dai_lai_suat,empty,0,True,0.841604,0.804376,1.0,0.0,654.5654,651.0203,669.6488,574.4226
70,to_trinh_uu_dai_lai_suat,empty,0,True,0.846875,0.657831,1.0,0.0,631.701,602.4377,655.4043,500.6078
71,to_trinh_uu_dai_lai_suat,empty,0,True,0.899911,0.702388,1.0,0.0,634.5251,598.3705,652.8455,469.8048
72,the_tiet_kiem_ban_sao,empty,0,True,0.465457,1.0,0.1904,0.0,666.4474,698.0581,650.1817,638.9222
73,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.917362,0.381114,0.0,637.4366,632.7404,602.266,580.6077
74,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.994043,0.181631,0.0,493.4527,493.2928,471.4941,466.6206
75,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.692664,0.0,0.614153,455.7353,448.8936,433.4741,447.1459
76,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.528402,0.462533,0.0,707.7036,658.3657,651.4746,603.085
77,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.840378,0.877258,0.0,660.6975,640.3684,645.0653,533.3394
78,to_trinh_uu_dai_lai_suat,empty,0,True,0.76612,0.820566,1.0,0.0,642.9359,648.6505,667.4841,562.5234
79,to_trinh_uu_dai_lai_suat,empty,0,True,0.837628,0.652924,1.0,0.0,629.5762,601.3209,654.4152,501.4393
80,to_trinh_uu_dai_lai_suat,empty,0,True,0.877411,0.67953,1.0,0.0,630.9501,594.1148,653.77,467.6209
81,the_tiet_kiem_ban_sao,empty,0,True,0.43918,1.0,0.0,0.01867,667.7687,701.8511,641.0786,642.2133
82,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.722064,0.312548,0.0,630.1803,617.4138,598.6033,584.2469
83,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.945533,0.295857,0.0,498.7495,496.8969,474.7992,464.736
84,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.803203,0.0,0.544958,465.1135,461.0844,444.6398,455.7971
85,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.521631,0.515571,0.0,704.5128,654.8625,654.2335,600.722
86,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.858128,0.900294,0.0,665.1349,647.5416,652.7706,541.1271
87,to_trinh_uu_dai_lai_suat,empty,0,True,0.806075,0.834081,1.0,0.0,643.9717,646.6471,662.4975,566.9668
